"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"MARCKSL1",1.91400802293205e-278,3.14371614246729,0.712,0.173,3.08959175061691e-274,"CellType5"
"MYH9",1.54216416917374e-244,2.53329130379332,0.875,0.413,2.48936140188025e-240,"CellType5"
"RBPMS",0,3.3166876097704,0.7,0.143,0,"CellType5"
"CEBPB",6.8062581054457e-254,3.27581856662807,0.639,0.146,1.09866618338105e-249,"CellType5"
"SPTBN1",4.95946433494035e-272,2.77013740755338,0.827,0.312,8.00556732946072e-268,"CellType5"
"ELF3",1.34139586335021e-229,2.35474147959721,0.905,0.472,2.1652812026199e-225,"CellType5"
"BACE2",2.65233459153226e-284,3.09390911487892,0.736,0.19,4.28139849765138e-280,"CellType5"
"MYZAP",1.6219839053391e-245,5.03965217929945,0.332,0.022,2.61820641999837e-241,"CellType5"
"TNFAIP3",2.4225161392197e-177,3.68408994545371,0.44,0.083,3.91042555192844e-173,"CellType5"
"NCEH1",3.89478257421537e-274,4.25206178502815,0.421,0.038,6.28695803129845e-270,"CellType5"
"DUSP1",1.41254157633227e-167,2.38495247618284,0.783,0.367,2.28012461251555e-163,"CellType5"
"ITGB1",1.34086259447036e-241,2.12398923981364,0.964,0.724,2.16442039999405e-237,"CellType5"
"TSPO",2.35243452562276e-306,3.05815015979425,0.765,0.198,3.79729981126026e-302,"CellType5"
"DUSP5",2.73714161587652e-212,2.7832569112792,0.685,0.198,4.41829399634788e-208,"CellType5"
"WFDC2",1.13462248317524e-135,3.47787342180663,0.379,0.078,1.83150761234148e-131,"CellType5"
"TNFRSF12A",2.29366318396595e-258,2.2734215925995,0.933,0.502,3.70243111155783e-254,"CellType5"
"ERRFI1",5.56395283759073e-197,2.8983441542419,0.633,0.182,8.98133267043895e-193,"CellType5"
"GAS6",2.13006505962528e-210,5.21571674882937,0.264,0.014,3.43835101924713e-206,"CellType5"
"ACTN4",5.04314039463899e-264,2.11341772968826,0.973,0.707,8.14063722502626e-260,"CellType5"
"ITGA3",9.01676368451027e-266,3.11359066034565,0.697,0.177,1.45548599395365e-261,"CellType5"
"SLC2A1",7.61065299065089e-238,3.73340471849865,0.491,0.077,1.22851160575087e-233,"CellType5"
"KLF5",3.24794878428635e-235,4.38971346952269,0.377,0.037,5.24283892759503e-231,"CellType5"
"ACTB",2.49250104273761e-189,1.67350392955745,0.995,0.954,4.02339518318705e-185,"CellType5"
"CD59",2.23582907311071e-219,2.0749767567452,0.937,0.678,3.60907528981531e-215,"CellType5"
"KCNQ1",1.31653501393373e-201,4.72078900813232,0.312,0.028,2.12515081949182e-197,"CellType5"
"FILIP1L",2.00481406949204e-168,4.03674245466071,0.304,0.034,3.23617087097405e-164,"CellType5"
"PROSER2",6.67898387359768e-207,5.27584525301975,0.261,0.014,1.07812157687614e-202,"CellType5"
"IL4R",7.5418297654464e-238,3.80345491417589,0.484,0.076,1.21740216073836e-233,"CellType5"
"HBEGF",1.19585049291512e-173,4.28075889940014,0.277,0.025,1.93034186566359e-169,"CellType5"
"LY6E",8.1523614753687e-239,3.59267936179493,0.496,0.077,1.31595418935402e-234,"CellType5"
"CXCL16",9.80945306659232e-256,3.33129649933146,0.567,0.101,1.58344191400933e-251,"CellType5"
"DEFB1",2.14660040706068e-160,3.11567972855553,0.485,0.117,3.46504237707736e-156,"CellType5"
"TMEM63A",1.8760695019597e-221,4.63475547667506,0.347,0.033,3.02835139006335e-217,"CellType5"
"PDZK1IP1",2.7180265380007e-286,2.8408305960912,0.664,0.122,4.38743843764073e-282,"CellType5"
"PPIC",7.12605180999679e-265,3.77092029401345,0.497,0.069,1.15028728316968e-260,"CellType5"
"LGALS9",1.53592626373017e-193,5.10006857382501,0.259,0.016,2.47929217491325e-189,"CellType5"
"EFNA1",3.36936906115036e-198,2.88837970793517,0.592,0.152,5.43883553850892e-194,"CellType5"
"RHOV",4.80814086747686e-169,4.82237384288594,0.271,0.025,7.76130098828114e-165,"CellType5"
"PTRF",2.21596880689466e-207,4.98833762753205,0.253,0.012,3.57701684808935e-203,"CellType5"
"KIAA1522",1.69090448832365e-260,2.96967985275287,0.698,0.181,2.72945802505204e-256,"CellType5"
"PHLDA1",5.33001630314966e-202,3.05887063645486,0.542,0.117,8.60371231654418e-198,"CellType5"
"EGFR",3.48278879522678e-179,4.31113993031194,0.323,0.038,5.62191767325506e-175,"CellType5"
"HES4",2.22643128958161e-273,3.53608590710512,0.535,0.077,3.59390538764263e-269,"CellType5"
"TRIM47",2.00514926001713e-239,3.92596436846991,0.436,0.055,3.23671193551965e-235,"CellType5"
"SLC16A3",1.48368670018882e-162,4.38709404440399,0.261,0.024,2.39496707144479e-158,"CellType5"
"ZC3H12A",3.21050762211604e-228,3.35536486423916,0.5,0.082,5.1824014036197e-224,"CellType5"
"FSTL1",8.97860040046294e-234,3.96985904299742,0.353,0.029,1.44932567664273e-229,"CellType5"
"TUBB6",5.40468593398785e-205,3.59098022758258,0.462,0.081,8.72424403464318e-201,"CellType5"
"CNN2",4.55417589155335e-189,3.4494045100908,0.462,0.09,7.35135072414542e-185,"CellType5"
"TRIP6",6.41617644674489e-215,3.92484692116404,0.418,0.059,1.03569920203356e-210,"CellType5"
"GSTP1",3.04832463529654e-234,2.03135692687556,0.937,0.551,4.92060562629568e-230,"CellType5"
"ATP1A1",5.79699401147605e-153,1.98906032322404,0.936,0.731,9.35750773332464e-149,"CellType5"
"NCOA7",1.02336451349938e-184,2.95697339158735,0.554,0.137,1.65191499769069e-180,"CellType5"
"RND1",1.20767930083523e-156,3.77162666942556,0.319,0.044,1.94943592740823e-152,"CellType5"
"CLPS",0,7.62403515224511,0.993,0.145,0,"CellTypeMis"
"CELA3B",0,7.53369253491763,0.999,0.124,0,"CellTypeMis"
"CELA2A",0,7.36325111775869,0.983,0.082,0,"CellTypeMis"
"CELA3A",0,7.29964097850285,1,0.253,0,"CellTypeMis"
"PLA2G1B",0,7.26648960175034,0.998,0.147,0,"CellTypeMis"
"SYCN",0,7.61957435386529,0.969,0.038,0,"CellTypeMis"
"PRSS1",0,7.12181042945672,1,0.207,0,"CellTypeMis"
"CPA1",0,6.91679111923825,0.99,0.178,0,"CellTypeMis"
"PRSS2",0,6.77196447322627,0.999,0.318,0,"CellTypeMis"
"CTRB1",0,6.76966350741089,1,0.245,0,"CellTypeMis"
"CTRC",0,7.2501521897377,0.991,0.065,0,"CellTypeMis"
"CTRB2",0,6.50002276480719,1,0.321,0,"CellTypeMis"
"PNLIP",0,6.66433760027513,0.973,0.056,0,"CellTypeMis"
"CPA2",0,6.65925722070043,0.992,0.063,0,"CellTypeMis"
"REG1B",0,6.34297563843742,0.974,0.234,0,"CellTypeMis"
"CPB1",0,6.18664426376555,0.991,0.128,0,"CellTypeMis"
"REG1A",0,6.03140193265227,0.999,0.522,0,"CellTypeMis"
"PNLIPRP1",0,7.18312534017685,0.987,0.037,0,"CellTypeMis"
"CUZD1",0,7.244888031095,0.89,0.024,0,"CellTypeMis"
"KLK1",0,7.07195924123876,0.971,0.027,0,"CellTypeMis"
"REG3G",0,6.89107200976587,0.703,0.024,0,"CellTypeMis"
"PRSS3",0,5.67532766933661,0.977,0.135,0,"CellTypeMis"
"PNLIPRP2",0,7.58824802778226,0.936,0.017,0,"CellTypeMis"
"GP2",0,7.20514976666542,0.912,0.023,0,"CellTypeMis"
"SPINK1",0,5.13659845114476,1,0.241,0,"CellTypeMis"
"CEL",0,7.29536830057721,0.664,0.008,0,"CellTypeMis"
"CELA2B",0,7.37309241490162,0.837,0.014,0,"CellTypeMis"
"HAMP",0,7.27367975455162,0.393,0.011,0,"CellTypeMis"
"AMY2A",0,7.98628774756311,0.582,0.004,0,"CellTypeMis"
"CTRL",0,7.21483458384561,0.843,0.01,0,"CellTypeMis"
"SERPINA3",0,3.89790120763471,0.994,0.211,0,"CellTypeMis"
"RNASE1",0,4.60722269053658,0.91,0.035,0,"CellTypeMis"
"IL32",0,3.52646106976212,0.994,0.182,0,"CellTypeMis"
"PLTP",0,5.92476315107353,0.724,0.015,0,"CellTypeMis"
"MT1G",0,4.37699995153898,0.53,0.035,0,"CellTypeMis"
"REG1P",0,6.14493924664085,0.787,0.013,0,"CellTypeMis"
"GSTA2",0,4.86153269742634,0.531,0.024,0,"CellTypeMis"
"PDIA2",0,6.42976491444531,0.644,0.006,0,"CellTypeMis"
"MGST1",0,4.83741848891216,0.914,0.038,0,"CellTypeMis"
"ALDOB",0,3.9529953158003,0.667,0.033,0,"CellTypeMis"
"GSTA1",0,4.47136436307687,0.483,0.028,0,"CellTypeMis"
"ANPEP",0,4.32970080698785,0.86,0.041,0,"CellTypeMis"
"AADAC",0,7.0295130990253,0.422,0.005,0,"CellTypeMis"
"FOXD2",0,5.08400237527827,0.784,0.035,0,"CellTypeMis"
"CD44",0,3.25224652699481,0.999,0.307,0,"CellTypeMis"
"AKR1C3",0,3.77272101432293,0.673,0.061,0,"CellTypeMis"
"UGDH",0,2.8804306790776,0.969,0.372,0,"CellTypeMis"
"BCAT1",0,4.05888641855114,0.482,0.014,0,"CellTypeMis"
"CXCL12",5.18786392846049e-281,5.58211280573384,0.278,0.005,8.37424995332093e-277,"CellTypeMis"
"OAF",0,3.54883301114671,0.644,0.074,0,"CellTypeMis"
"CA12",0,3.72409940425656,0.49,0.041,0,"CellTypeMis"
"MT2A",8.35501142166472e-304,2.62018715270116,0.801,0.209,1.34866594368512e-299,"CellTypeMis"
"CPA4",5.88109831012149e-265,4.30170658873117,0.328,0.018,9.49326889219811e-261,"CellTypeMis"
"ATP4A",3.80243211578538e-279,7.15739220410442,0.253,0.001,6.13788592130075e-275,"CellTypeMis"
"G0S2",0,3.44495934730095,0.598,0.075,0,"CellTypeMis"
"SOD2",0,2.18679552817122,0.988,0.483,0,"CellTypeMis"
"SLC39A5",0,5.9700035766036,0.526,0.006,0,"CellTypeMis"
"PTGR1",0,3.18071114234113,0.641,0.112,0,"CellTypeMis"
"AKR1C2",2.33573439121022e-198,3.30091478414505,0.423,0.068,3.77034245429153e-194,"CellTypeMis"
"ALB",0,2.81747634526769,0.409,0.017,0,"CellTypeMis"
"GDF15",0,1.9646521453881,0.84,0.221,0,"CellTypeMis"
"SERPINI2",2.96243032205582e-271,6.32222214318729,0.254,0.002,4.78195502586251e-267,"CellTypeMis"
"IFITM3",0,2.23647289147969,0.988,0.212,0,"CellTypeMis"
"RPL10",0,1.83527417998871,1,0.988,0,"CellTypeMis"
"AKR1C1",6.32541897604469e-161,3.2362956131247,0.354,0.057,1.02104913111313e-156,"CellTypeMis"
"AZGP1",0,4.50960604499391,0.584,0.016,0,"CellTypeMis"
"YBX3",0,2.86100769120728,0.902,0.133,0,"CellTypeMis"
"REG3A",1.77467162296274e-174,1.84950856375088,0.402,0.072,2.86467493378646e-170,"CellTypeMis"
"ACTG1",0,1.77473718185788,1,0.953,0,"CellTypeMis"
"CXCL17",0,3.6192034064249,0.434,0.017,0,"CellTypeMis"
"GATM",0,2.94653357023804,0.773,0.09,0,"CellTypeMis"
"NUPR1",0,2.90195490514866,0.724,0.067,0,"CellTypeMis"
"SERPINB1",0,2.45817937522506,0.942,0.368,0,"CellTypeMis"
"TRIB2",0,3.51026928728869,0.496,0.037,0,"CellTypeMis"
"TM4SF1",1.71894756631042e-286,1.93905645025254,0.896,0.275,2.77472516153828e-282,"CellTypeMis"
"FTH1",0,1.60121331316013,1,0.988,0,"CellTypeMis"
"CD24",0,1.90551946643158,0.973,0.385,0,"CellTypeMis"
"AGTRAP",0,2.78838459990412,0.746,0.149,0,"CellTypeMis"
"SLC38A5",0,5.25112382894516,0.438,0.008,0,"CellTypeMis"
"RARRES2",0,2.94671581445874,0.559,0.022,0,"CellTypeMis"
"ANGPTL4",9.70156260835088e-209,2.00629485649015,0.611,0.145,1.56602623624e-204,"CellTypeMis"
"ZFP36L1",0,1.92056498749809,0.913,0.204,0,"CellTypeMis"
"F3",8.14956983937627e-214,2.46988272702912,0.562,0.125,1.31550356347212e-209,"CellTypeMis"
"DPEP1",0,3.06412179106403,0.47,0.032,0,"CellTypeMis"
"SLC25A37",0,2.72437221796016,0.794,0.128,0,"CellTypeMis"
"TMSB4X",2.37577761944402e-224,1.45518368772191,0.998,0.786,3.83498023330653e-220,"CellTypeMis"
"AKR7A3",0,4.35132267080961,0.377,0.017,0,"CellTypeMis"
"C11orf96",3.37484195036312e-160,2.79196575336986,0.331,0.049,5.44766987627615e-156,"CellTypeMis"
"GLUL",4.231581227223e-216,2.3014420456254,0.761,0.25,6.83061841698337e-212,"CellTypeMis"
"PDZK1IP1",0,2.34396606415075,0.671,0.104,0,"CellTypeMis"
"CPM",0,3.20822835616856,0.44,0.034,0,"CellTypeMis"
"PCDHB4",0,3.60627963045633,0.55,0.039,0,"CellTypeMis"
"HSPB1",4.50411035254061e-144,1.39411315860461,0.981,0.751,7.27053493107106e-140,"CellTypeMis"
"FAM129A",0,3.34857164399382,0.417,0.024,0,"CellTypeMis"
"LDHB",0,2.49483975461263,0.767,0.134,0,"CellTypeMis"
"GAS5",2.78573834138784e-298,1.83984351142301,0.977,0.574,4.49673883066825e-294,"CellTypeMis"
"EEF1D",0,1.84669303766024,0.969,0.525,0,"CellTypeMis"
"S100A6",7.38469752878923e-46,1.28611390967798,0.809,0.705,1.19203787509716e-41,"CellTypeMis"
"LGALS1",3.11673889276959e-230,2.80216491135852,0.388,0.041,5.03103992070867e-226,"CellTypeMis"
"GALNT2",1.28480655616761e-286,2.18420454192151,0.756,0.169,2.07393474296576e-282,"CellTypeMis"
"EEF1B2",0,1.44632733545383,0.999,0.864,0,"CellTypeMis"
"RPL29",0,1.41932024440182,0.999,0.892,0,"CellTypeMis"
"TKT",1.93836692679885e-240,1.64314656544267,0.962,0.553,3.12891189323871e-236,"CellTypeMis"
"SAT1",6.69307670317188e-192,1.3834563055449,0.929,0.493,1.08039644142601e-187,"CellTypeMis"
"RPS2",0,1.1920055047239,1,0.992,0,"CellTypeMis"
"MT1E",3.26970982612379e-216,1.87724714731297,0.668,0.17,5.27796560132903e-212,"CellTypeMis"
"BAIAP2L1",6.59131729322152e-248,1.87539331022271,0.718,0.163,1.06397043747182e-243,"CellTypeMis"
"CEBPD",2.85165800877048e-233,1.84437272388478,0.853,0.31,4.6031463577573e-229,"CellTypeMis"
"TC2N",1.4897006637135e-297,2.28857039084297,0.594,0.083,2.40467481136634e-293,"CellTypeMis"
"CASP4",0,2.46037534412508,0.662,0.102,0,"CellTypeMis"
"VIM",2.35469601939172e-168,1.35916044325264,0.762,0.271,3.80095031450212e-164,"CellTypeMis"
"SMTN",6.29098998841778e-251,2.97787611924625,0.392,0.035,1.0154916039304e-246,"CellTypeMis"
"RPL18A",0,1.17285475965344,1,0.968,0,"CellTypeMis"
"TNFAIP8",4.69678210521929e-266,2.50458193890274,0.52,0.072,7.58154567424498e-262,"CellTypeMis"
"ADGRE5",1.2049729211191e-269,2.86290617290023,0.4,0.033,1.94506728927046e-265,"CellTypeMis"
"MCL1",1.22377404370429e-142,1.42729231381559,0.904,0.553,1.97541606134746e-138,"CellTypeMis"
"PLIN2",3.3599289113417e-174,1.9157418232203,0.648,0.199,5.42359724868777e-170,"CellTypeMis"
"SERPINA4",1.45756606323422e-168,2.60241667233311,0.267,0.024,2.35280313927268e-164,"CellTypeMis"
"RPS5",0,1.15779812455655,1,0.96,0,"CellTypeMis"
"EEF1A1",0,1.0751489553855,1,0.999,0,"CellTypeMis"
"HILPDA",4.4190503368704e-146,2.03913234785302,0.514,0.15,7.1332310537762e-142,"CellTypeMis"
"PABPC4",5.49101191668454e-238,1.83206524839571,0.838,0.283,8.86359143591219e-234,"CellTypeMis"
"TPST2",9.73740694702574e-210,2.78487462196962,0.33,0.03,1.57181222938889e-205,"CellTypeMis"
"KRTCAP3",1.08891486940872e-241,1.88438914052905,0.662,0.138,1.75772638219956e-237,"CellTypeMis"
"SDC4",3.66512683617119e-265,1.32146045930745,0.79,0.184,5.91624773894754e-261,"CellTypeMis"
"AMY2B",1.90840030475194e-222,3.62282499898144,0.312,0.023,3.08053977193059e-218,"CellTypeMis"
"SLC7A11",3.80519386793589e-222,3.26457119119321,0.311,0.022,6.14234394162211e-218,"CellTypeMis"
"IMPDH2",2.96289527328211e-225,1.67959728390629,0.881,0.357,4.78270555013198e-221,"CellTypeMis"
"HSPA8",2.45028080995075e-126,1.25363890121723,0.96,0.807,3.9552432834225e-122,"CellTypeMis"
"TMEM52",2.65741706663715e-250,4.72332422612862,0.257,0.006,4.28960262896569e-246,"CellTypeMis"
"MT1L",1.52968300715781e-220,3.02077052164616,0.327,0.026,2.46921431015413e-216,"CellTypeMis"
"SOX4",1.56419439989706e-193,1.26373754386446,0.74,0.221,2.52492260031383e-189,"CellTypeMis"
"C19orf48",3.51036014386252e-277,2.9677456611705,0.439,0.041,5.66642334422288e-273,"CellTypeMis"
"RPLP0",0,1.02724831767388,1,0.984,0,"CellTypeMis"
"DEFB1",0,2.04380519777886,0.64,0.078,0,"CellTypeMis"
"FBXO2",1.60731110278784e-210,2.19747194229858,0.543,0.105,2.59452158212013e-206,"CellTypeMis"
"KRT18",4.69029908964271e-244,1.25304619493614,0.952,0.401,7.57108079050127e-240,"CellTypeMis"
"RPS12",1.65228755605757e-303,0.975542453694447,1,0.987,2.66712257298812e-299,"CellTypeMis"
"ETS2",4.40603749564042e-219,1.82533212192032,0.669,0.164,7.11222572546277e-215,"CellTypeMis"
"RPL12",1.42762649484757e-218,1.16885403322896,0.994,0.884,2.30447468798295e-214,"CellTypeMis"
"GPT2",1.85090399923695e-160,2.08226595725964,0.334,0.046,2.98772923556828e-156,"CellTypeMis"
"FAM13A",7.36354150126791e-208,3.27848677971267,0.323,0.029,1.18862286913467e-203,"CellTypeMis"
"GJB1",5.181347725829e-206,2.25417542381767,0.382,0.045,8.36373149903317e-202,"CellTypeMis"
"SQSTM1",6.52039936268926e-84,1.11317540751897,0.958,0.817,1.0525228651253e-79,"CellTypeMis"
"RPSA",3.589607387715e-301,1.01815388669726,0.999,0.969,5.79434424524955e-297,"CellTypeMis"
"TUBA1C",3.47960312227984e-195,1.31438809048372,0.927,0.421,5.61677535998412e-191,"CellTypeMis"
"SLC43A1",6.26004595377905e-260,3.31175324028336,0.344,0.021,1.01049661785901e-255,"CellTypeMis"
"LRG1",2.25060412716027e-176,2.68897848460319,0.292,0.029,3.63292518206211e-172,"CellTypeMis"
"ANKRD37",4.29467014826219e-132,2.43043527039632,0.418,0.101,6.93245655332483e-128,"CellTypeMis"
"RAMP1",2.18899152836594e-197,2.09303945707703,0.369,0.044,3.53347012508829e-193,"CellTypeMis"
"LAMB3",7.90934146095896e-196,1.43458264679354,0.629,0.144,1.276725898628e-191,"CellTypeMis"
"EFHD2",7.06272161998748e-211,1.72047386216873,0.716,0.189,1.14006452389838e-206,"CellTypeMis"
"ANKRD36",7.12628442336737e-101,1.94704808130224,0.34,0.082,1.15032483161996e-96,"CellTypeMis"
"NOB1",4.49285530232726e-211,1.84878982046049,0.667,0.159,7.25236702901667e-207,"CellTypeMis"
"TEAD4",1.41857841346778e-299,2.86613716654699,0.469,0.043,2.28986927501969e-295,"CellTypeMis"
"RPL14",5.04725755702015e-278,0.947278966448735,0.999,0.969,8.14728314854192e-274,"CellTypeMis"
"CXCL2",4.03822201514539e-143,1.56908525238562,0.346,0.058,6.51849797684769e-139,"CellTypeMis"
"GNB2L1",3.49668633716915e-269,1.00251535988793,1,0.942,5.64435108545844e-265,"CellTypeMis"
"RPL35",3.98609747370004e-268,0.982458470642403,0.999,0.956,6.43435854204661e-264,"CellTypeMis"
"SORD",1.03094220732248e-193,1.86649329378483,0.523,0.102,1.66414691105995e-189,"CellTypeMis"
"TMEM97",5.24273560320025e-199,2.85281172537173,0.316,0.029,8.46282381068585e-195,"CellTypeMis"
"ITGA2",7.73046071680594e-202,1.56379212157824,0.529,0.098,1.24785096890681e-197,"CellTypeMis"
"RPS9",8.75283132633533e-253,0.902319908103178,1,0.98,1.41288203269705e-248,"CellTypeMis"
"SNHG5",7.2723564371719e-166,1.25285848062044,0.947,0.643,1.17390377608829e-161,"CellTypeMis"
"KRT8",1.20871350827313e-156,1.01935232340537,0.956,0.575,1.95110534505449e-152,"CellTypeMis"
"LDHA",4.10801672973804e-203,1.42797458639196,0.867,0.305,6.63116060514315e-199,"CellTypeMis"
"NR5A2",8.38885197983276e-172,2.12404811147044,0.342,0.044,1.3541284865846e-167,"CellTypeMis"
"RPS18",8.40669461772339e-265,0.854597224301136,1,0.986,1.35700864519291e-260,"CellTypeMis"
"GAL",2.90979144714537e-184,2.13351035410998,0.289,0.026,4.69698535398206e-180,"CellTypeMis"
"POLR1D",1.89184795920384e-169,1.39692562391444,0.837,0.341,3.05382097574685e-165,"CellTypeMis"
"RPL35A",1.48434367922674e-254,0.938430054961336,1,0.954,2.3960275670078e-250,"CellTypeMis"
"PHLDA1",3.81439045459935e-141,1.42463302578883,0.479,0.115,6.15718907181427e-137,"CellTypeMis"
"RPL36A",3.54604811149307e-226,0.901638708893195,1,0.948,5.72403086157212e-222,"CellTypeMis"
"GLTSCR2",7.14283989087608e-184,1.30453910083683,0.942,0.512,1.15299721518522e-179,"CellTypeMis"
"RPS19",7.05278929661449e-217,0.809793133482393,0.999,0.978,1.13846124825951e-212,"CellTypeMis"
"RHOC",1.9514534613628e-187,1.14891100096106,0.856,0.288,3.15003617733184e-183,"CellTypeMis"
"CCDC64B",1.02827066262963e-136,1.8559585015689,0.307,0.046,1.65983450361674e-132,"CellTypeMis"
"RPS6",4.32425252836992e-234,0.821874970820766,1,0.98,6.98020843129473e-230,"CellTypeMis"
"RPL13",2.85822978880306e-275,0.778632488857257,1,0.993,4.61375452508591e-271,"CellTypeMis"
"TPRN",1.84118553118565e-195,2.34661914097431,0.366,0.043,2.97204168443987e-191,"CellTypeMis"
"DDIT4",1.10196499949002e-118,1.10553814492615,0.757,0.343,1.77879190217679e-114,"CellTypeMis"
"HOMER2",1.15680745222249e-196,1.73352064190689,0.622,0.145,1.86731858937754e-192,"CellTypeMis"
"GSTP1",9.3878726329526e-144,0.970703877850666,0.95,0.537,1.51539040041121e-139,"CellTypeMis"
"RPL36",6.57115885931208e-214,0.858057212865848,0.999,0.955,1.06071646307016e-209,"CellTypeMis"
"MTHFD2",4.55658052075302e-218,1.84088233907367,0.558,0.103,7.35523227659952e-214,"CellTypeMis"
"CASP9",4.93317557980801e-145,2.47957567262283,0.319,0.048,7.9631320209261e-141,"CellTypeMis"
"RPS26",5.37496953696616e-182,0.961048691320046,0.994,0.878,8.67627582657078e-178,"CellTypeMis"
"MUC1",8.18842572885032e-278,1.01014899177158,0.652,0.113,1.32177568115102e-273,"CellTypeMis"
"ARHGDIG",3.7012764175597e-217,3.20621177787974,0.302,0.021,5.97460039322487e-213,"CellTypeMis"
"CDC42EP1",4.98757228373885e-303,1.34705518056954,0.768,0.135,8.05093918041125e-299,"CellTypeMis"
"SENP3.EIF4A1",2.10069343267971e-212,2.01554622260137,0.583,0.119,3.39093933903159e-208,"CellTypeMis"
"RPS4Y1",6.29306474133304e-158,1.16124914816631,0.933,0.497,1.01582651054598e-153,"CellTypeMis"
"PTMA",1.91657442588411e-137,0.816046873888951,0.998,0.924,3.09373443826213e-133,"CellTypeMis"
"PRSS8",8.21462167507565e-192,1.06880130137755,0.623,0.137,1.32600423079071e-187,"CellTypeMis"
"SPSB1",5.69370453632885e-141,1.47860064819146,0.486,0.115,9.19077786254202e-137,"CellTypeMis"
"RPL8",5.80526629809817e-233,0.729448856847503,1,0.992,9.37086085839007e-229,"CellTypeMis"
"RPL7",1.64289093616651e-157,0.763816251198877,0.998,0.953,2.65195454915998e-153,"CellTypeMis"
"EHD2",5.76582429914867e-155,2.12627695537898,0.297,0.036,9.30719358368579e-151,"CellTypeMis"
"RPL13A",1.82289819701136e-237,0.696772840088616,1,0.996,2.94252226961574e-233,"CellTypeMis"
"NPM1",2.95065359202692e-103,0.897167673650143,0.951,0.723,4.76294502824986e-99,"CellTypeMis"
